track_uri|danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|time_signature
4YLVhTM54R00GXMEaQTJuy|0.423|0.59|5|-10.578|0|0.0422|0.551|0.875|0.0705|0.182|113.695|3
2vl0kqN7DQ1ItPptogsmzL|0.504|0.472|4|-15.864|0|0.131|0.955|0.907|0.69|0.661|109.871|4
1YJrOyHLa570BgO5PiLsQF|0.447|0.718|5|-11.679|0|0.0833|0.712|0.923|0.689|0.685|119.442|4
3pdf4Si9sxRxe1VWEuQWNI|0.576|0.736|5|-13.067|0|0.0861|0.793|0.927|0.708|0.888|125.528|4
622xsTHqEpRHeR5D9tGN1M|0.393|0.439|8|-16.436|1|0.4|0.953|0.838|0.698|0.542|157.621|3
5wJyAodyaj34x82LmKEx2J|0.391|0.554|5|-14.443|1|0.073|0.828|0.864|0.933|0.695|176.093|3
22t5elDfVZiW8n85ntuc6X|0.338|0.348|11|-16.066|0|0.0642|0.804|0.907|0.695|0.0904|140.997|4
7shSpQmnRg2aEwkj4uMJAs|0.53|0.67|5|-13.65|0|0.107|0.308|0.902|0.775|0.435|115.784|3
50RIe9FkabpXiHr1t6JQIb|0.541|0.693|11|-12.586|0|0.0873|0.38|0.81|0.168|0.776|130.85|4
1kbG4ZjQDCqKPBninyg1Oa|0.631|0.732|7|-12.484|1|0.19|0.709|0.927|0.972|0.782|146.192|4
0qbfkopsdLWdBA13E2KOcI|0.517|0.923|0|-11.314|1|0.88|0.662|0.653|0.693|0.453|139.909|3
0SIpD8W3grFYqTVAeqIORo|0.459|0.77|4|-10.323|0|0.0342|0.823|0.883|0.0748|0.92|102.931|4
7xzCwfHg0o2oOmxTMG39aV|0.386|0.485|2|-12.088|1|0.0318|0.906|0.858|0.135|0.541|105.885|3
4ilagQRbEQ08L2qJT1ssPX|0.32|0.409|8|-8.632|1|0.033|0.935|0.907|0.133|0.318|50.469|4
55ZrmaLxE2mMOWlm6Vq7Op|0.393|0.469|6|-11.826|1|0.0397|0.857|0.86|0.199|0.77|154.026|3
0rhMLq29HsLGLrfxhwXq9i|0.269|0.626|1|-11.037|1|0.0372|0.878|0.884|0.0793|0.341|78.043|4
0imo8VyBdAucn3eU6Htsec|0.43|0.889|5|-7.518|0|0.0394|0.818|0.898|0.102|0.963|119.941|3
6jg0WqvGkkCSVxY8q35Qd3|0.411|0.626|7|-11.156|1|0.035|0.734|0.729|0.0899|0.5|96.069|3
6GzFM8GhodUSN6lKxOfDN3|0.353|0.251|6|-17.326|1|0.0371|0.796|0.423|0.0876|0.27|100.257|5
20lRIXNDnYfYua1Qs93KnS|0.442|0.821|3|-6.451|1|0.0977|0.771|0.0|0.0741|0.562|167.437|3
1wD6deEBltUQaOk0YV1dvL|0.324|0.696|5|-9.675|0|0.0336|0.825|0.879|0.0715|0.516|94.855|3
0az19tE0JUbtXBEIZBC2NA|0.467|0.533|9|-12.525|0|0.1|0.814|0.285|0.0903|0.417|75.467|4
09l3JsSo70K6mqvgSf3l07|0.657|0.592|7|-10.777|1|0.0345|0.833|0.816|0.114|0.702|106.938|3
2KfNaByLbEpcitirznr9Re|0.403|0.263|9|-14.753|0|0.0287|0.88|0.835|0.109|0.113|109.426|4
3PemitpJcfv2dYFOatMYb2|0.458|0.328|2|-15.843|1|0.0561|0.855|0.808|0.958|0.231|133.879|4
3T4kzotjKhYbdjSGeiCdji|0.259|0.593|5|-13.682|0|0.0347|0.904|0.888|0.119|0.333|81.891|4
0I9UBUqLEFTQQRTTreSzE0|0.311|0.791|11|-11.347|0|0.0604|0.786|0.828|0.136|0.526|80.446|4
3ucfa8nWSwB0M4WTHB0pZc|0.34|0.785|4|-11.977|1|0.0521|0.845|0.869|0.179|0.269|90.387|4
3QLTrgQjkyPBcdSCgqclhu|0.342|0.676|2|-11.826|1|0.0375|0.797|0.907|0.961|0.456|139.839|4
7vuncs9DwaH0f06RajueRT|0.336|0.848|2|-11.463|0|0.0514|0.79|0.818|0.448|0.409|78.682|4
6gVLiMU7PmRgSNIlq4AUTq|0.366|0.688|9|-12.511|1|0.0623|0.845|0.887|0.702|0.259|91.535|3
0qXotZPxZtSQyGxa0y5rgR|0.42|0.712|4|-12.362|0|0.0689|0.77|0.829|0.48|0.445|82.262|4
56oFB8WrZNqp25Mx5QFHlB|0.327|0.79|7|-10.59|1|0.04|0.819|0.836|0.926|0.706|88.819|3
0PCM36Fte6ZuMfcmuw7ieO|0.398|0.639|10|-8.038|1|0.0369|0.905|0.827|0.116|0.848|128.756|3
